"id";"title";"sentence";"subject1";"subject2";"subject3";"subject_notsure";"suggested_subject";"type1";"type2";"type3";"type_notsure";"suggested_type"
"43";;"دليل تأخير در فرايند ابطال خودرو در حوزه شماره گذاري چيست؟ ";"ماشین";;;"0";;"دلیل";"توضیح";;"0";
"44";;"دلائل عدم شماره گذاري به موقع خورو چه مي تواند باشد؟ ";"ماشین";;;"0";;"دلیل";"لیست";"توضیح";"0";
"45";;"معمولاً فرايند شماره گذاري خودرو چه مدت به طول مي انجامد؟ ";"ماشین";;;"0";;"توضیح";;;"0";
"46";;"مدت زمان نگهداري پلاک هاي فکي در مراکز مختلف چقدر است؟ ";"ماشین";;;"0";;"توضیح";;;"0";
"47";;"آيا مي توان از قيچي شدن ( امحاء ) فيزيك پلاك كه بر روي خودروي قبلي نصب بوده آگاهي يافت؟ ";"ماشین";;;"0";;"بله/خیر";"توضیح";;"0";
"48";;"مدارك لازم جهت دريافت خودرو چيست ؟ ";"ماشین";;;"0";;"لیست";;;"0";
"49";;"علت تحويل خودرو در پاركينگ هايي غير از نمايندگيها و محل اصلي شركت چيست و عملكرد آنها به چه صورت است؟ ";"ماشین";;;"0";;"دلیل";"توضیح";"نظر";"0";
"50";;" (PDS ( Pre Delivery Service چيست؟ ";;;;"1";;"تعریف";;;"0";
"51";;"اسامي پارکينگ هايي که در آنها PDS انجام مي شود؟";"ماشین";;;"0";;"لیست";;;"0";
"52";;"آيا تاخير در دريافت خودرو از پارکينگ مشمول جريمه مي گردد؟ ";"ماشین";"اقتصاد";"خرید";"0";;"بله/خیر";"دلیل";;"0";
"53";;"نحوه دريافت خودروهاي پلاك تهران، ثبت نامي نمايندگيهاي شهرستان چگونه است؟ ";"خرید";"ماشین";;"0";;"توضیح";;;"0";
"54";;"ساعات كار شركت ايران خودرو جهت تحويل خودرو به مشتريان محترم چگونه است؟ ";"خرید";"ماشین";;"0";;"توضیح";;;"1";
"55";;"دريافت خودرو ازطريق وكالت نامه چگونه انجام مي شود؟ ";"خرید";"ماشین";;"0";;"توضیح";;;"0";
"56";;"چه مداركي توسط اداره پست به نشاني مشتري محترم ارسال مي گردد؟ ";"ماشین";"حقوق/قانون";;"0";;"لیست";"توضیح";;"0";
"57";;"چه مداركي توسط نمايندگي به مشتري محترم ارائه مي گردد ؟ ";"ماشین";"حقوق/قانون";;"0";;"لیست";"توضیح";;"0";
"58";;"نمايندگان مجاز ايران خودرو چه كساني هستند؟ ";"ماشین";"حقوق/قانون";"خرید";"0";;"لیست";;;"0";
"59";;"براي خريد و ثبت نام محصولات ايران خودرو به كجا مراجعه نماييم؟ ";"ماشین";"خرید";;"0";;"لیست";;;"0";
"60";;"انتقال وجه به هنگام خريد خودرو چگونه انجام مي­شود؟ ";"ماشین";"خرید";"حقوق/قانون";"0";;"توضیح";;;"0";
"61";;"در چه مواقعي نمايندگي از مشتري وجه دريافت مي­نمايد؟ ";"ماشین";"حقوق/قانون";"خرید";"0";;"توضیح";;;"0";
"62";;"هنگام مراجعه به نمايندگي براي خريد خودرو چه مداركي لازم است؟ ";"ماشین";"خرید";"حقوق/قانون";"0";;"لیست";"توضیح";;"0";
"63";;"پس از ثبت نام، چه مداركي از سوي نمايندگي ارائه مي­گردد؟ ";"ماشین";"خرید";;"0";;"لیست";;;"0";
"64";;"در چه مواقعي به سازمان فروش مراجعه نماييم؟ ";"ماشین";"خرید";;"0";;"توضیح";;;"0";
"65";"لزوم اذن مجتهد جامع  الشرايط براى قاضى منصوب";"آيا قضاوت غير مجتهد را جايز مى  دانيد؟ در صورت عدم جواز، با نبود قاضى مجتهد يا كمبود آن، آيا غير مجتهد با اجازه مجتهد، مى  تواند قضاوت كند؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"توضیح";;"0";
"66";"اجتهاد متجزّى جهت قضا";"اگر ارتداد نزد قاضى غير مجتهد مأذون ثابت شود، آيا اجازه صدور حكم را دارد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"67";"تعارض حكم قاضى با مرجع تقليد";"اگر در موضوعى قاضى، حكم صادر كرد، ولى مرجع تقليد آن را خلاف شرع يا مبتنى بر اشتباه دانست، به كدام يك از دو نظر بايد ملتزم شد؟";"مذهبی";"حقوق/قانون";;"0";;"توضیح";"نظر";"پیشنهاد";"0";
"68";"قاضى به نظر خودش عمل مى  كند اجتهادا يا تقليدا";"اگر حاكم شرع و قاضى اجتهادا يا تقليدا نظرش با كسى كه نزد او آورده  اند يا با مترافعين در حقوق  اللّه  يا حقوق الناس اختلاف دارد، آيا طبق نظر خود اجتهادا يا تقليدا بايد رأى دهد؟";"مذهبی";"حقوق/قانون";;"0";;"توضیح";"نظر";"پیشنهاد";"0";
"69";"قاضى به نظر خودش عمل مى  كند اجتهادا يا تقليدا";"مثلاً فردى را آورده  اند كه لواط انجام داده و محصن نيست و او مقلد كسى است كه احصان را شرط مى  داند و اين قاضى در اجراى حد، احصان را شرط نمى  داند، آيا مى  تواند حكم به رجم دهد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"توضیح";"پیشنهاد";"0";
"70";"قاضى به نظر خودش عمل مى  كند اجتهادا يا تقليدا";"يا قاضى اجتهادا يا تقليدا علم را در حقوق الناس معتبر مى  داند و كسى كه رجوع نموده يا مترافعين اجتهادا يا تقليدا معتبر نمى  دانند. آيا قاضى مى  تواند طبق نظر خود كه علم را معتبر مى  داند حكم كند؟ ";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";;;"0";
"71";"موارد حجيّت علم قاضى";"در چه مواردى علم قاضى حجت است؟ و آيا راه  ها و مبادى علم او در نتيجه موضوعيت دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"72";"قسم دادن منكر";"آيا قاضى براى قسم دادن منكر، بايد با مطالبه شاكى، وى را سوگند دهد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"73";"فرار مجرم";"گاهى پيش مى  آيد كه قاضى يا رييس شعبه، شخص مديون را در اختيار مأمور مراقب قرار مى  دهد و مديون در ميانه راه فرار مى  كند. آيا آن قاضى و رييس آن شعبه ضامن است؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"74";"ادّعاى اشتباه توسط قاضى بعد از بركنارى";"اگر قاضى پس از القاى حكم و زوال او از سِمت قضايى، ادّعا كند در زمان حكم كردن اشتباه كرده و حكم ناقص داده است، حكم صادر شده چه حكمى دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"75";"پرداخت پول به جاى مجازات";"آيا مجرمى كه به مجازاتى ـ مثل شلاق خوردن ـ محكوم شده، مى  تواند با پول از مجازات رهايى پيدا كند؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"76";"قتل اجبارى از نظر اسلام";"اگر چنان چه فرد در شرايطى قرار گيرد كه مجبور به قتل كسى باشد، در اسلام چه حكمى دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"77";"كشتن متجاوز جنسى توسّط تجاوز شده";"آيا شخص مى  تواند كسانى را كه نسبت به او تجاوز جنسى كرده اند، در فرصت مناسب بكشد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"78";"حكم ترور";"آيا كشتن افراد به صورت ترور جايز است؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"79";"اقرار همراه با ابهام";"فردى اقرار به نسب ابهام و اجمالِ داشته، كرده و شخص اقراركننده وفات كرده  است و ميان ورثه در تعيين و رفع ابهام اختلاف وجود دارد يا تعيين نمى  كنند، بفرماييد ورثه چه وظيفه  اى دارند؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"80";"اقرار همراه با ابهام";"مقرّى به امر مبهمى اقرار كرده و در حالى كه قدرت بر تفسير دارد، از تفسير امتناع مى  كند. تكليف چيست؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"81";"زدن به يك نفر به جاى زدن به اتوبوس";"اگر راننده  اى خود را بين دو امر، تصادف با يك نفر كه كنار جاده ايستاده و تصادف با يك مينى بوس يا اتوبوس كه عده زيادى سرنشين دارد ببيند و به آن يك نفر زده و وى را بكشد، چه نوع قتلى محسوب مى  شود؟";"مذهبی";"حقوق/قانون";"فنی";"0";;"نظر";"پیشنهاد";;"0";
"82";"تفاوت نفى بلد با تبعيد";"تفاوت نفى بلد با تبعيد و آواره نمودن دايمى چيست؟";"مذهبی";"حقوق/قانون";;"0";;"دلیل";"نظر";;"0";
"83";"نسبت زنا به علّت عدم بكارت";"آيا به صرف بكر نبودن زوجه، مى  توان حكم زنا را نسبت به او ثابت كرد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";;;"0";
"84";"قذف";"اگر مردى به همسر خود نسبت رابطه  ى نامشروع با شخص خاصى بدهد، حكم شرعى چيست؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"85";"ورود زنان به دستگاه قضايى";"ورود زنان به دستگاه قضايى جهت رسيدگى به دعاوى حقوقى، كيفرى و امور حسبيّه از بدو تشكيل پرونده، مرحله تحقيقات و ختم رسيدگى و صدور و ابلاغ و اجراى حكم را مرقوم فرماييد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"86";"راهنمايى طرفين دعوا توسط قاضى";"آيا قاضى مى  تواند يكى از طرف هاى دعوا يا دو طرف را به نحوه صحيح دادرسى و تنظيم شكايت و... راهنمايى كند؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"87";"تعدّد قضات";"آيا تعدّد قضات از نظر اسلام صحيح است؟";"مذهبی";"حقوق/قانون";"روابط";"0";;"بله/خیر";"نظر";;"0";
"88";"گذشتن از شكايت در برابر پول";"در برخى موارد مجرم به شاكى مبلغى پول مى  دهد تا او از شكايت خود صرف نظر نمايد، با توجه به اين كه برخى از جرم ها مثل تجاوز به عنف، سرقت، و... مى  باشد، آيا دريافت چنين پولى جايز است؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";;;"0";
"89";"موارد جواز زندان در اسلام";"در عصر امروز زندان به عنوان رايج ترين مجازات مجرمين مطرح است، لطفا بفرماييد اسلام در چه مواردى زندان را جايز دانسته است؟";"مذهبی";"حقوق/قانون";;"0";;"لیست";"نظر";;"0";
"90";"كنترل تلفن، ورود به منزل، تعقيب و...";"آيا مى  توان براى اثبات جرم كسى، تلفن وى را كنترل كرد يا به تفتيش خانه او پرداخت و يا او را تعقيب نمود، و آيا قاضى مى  تواند به چنين امورى حكم نمايد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"91";"شكنجه و فشار متهم";"آيا براى اعتراف گرفتن از متهم، مى  توان او را شكنجه كرد و يا تحت فشار قرار داد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"92";"حكم قاضى فاسق";"برخى از قاضى  ها كه فسق هاى آشكارى هم چون ريش تراشى دارند، آيا حكم آن ها نافذ است؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"93";"كيفيت ضربات شلاق در حدود و تعزيرات";"لطفا كيفيت ضربات شلاق را در حدود و تعزيرات بيان فرماييد.";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"94";"دزدى  هاى الكترونيكى";"حكم سرقت هاى الكترونيكى اعم از اطلاعات، پول و... توسط اينترنت، كامپيوتر يا موبايل و تلفن چيست؟";"مذهبی";"حقوق/قانون";"کامپیوتر/موبایل";"0";;"نظر";;;"0";
"95";"اسيد پاشى";"حكم كسى كه به صورت زن يا مرد ديگر اسيد پاشيده است چيست؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"96";"چهار بار اقرار به زنا";"اگر كسى اقرار به زنا كند، لازم است چهار بار اقرار نمايد و آيا بايد هر بار از آن در يك جلسه مستقل باشد يا مى  توان چهار بار اقرار در يك جلسه را مبناى حكم قرار داد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"97";"مدّعى العموم";"آيا در اسلام چيزى به عنوان مدعى  العموم وجود دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"98";"پيگيرى قتل بدون تقاضاى اولياى مقتول";"آيا دادگاه مى  تواند بدون درخواست اولياى دم، در مورد قتلى كه واقع شده تحقيق و پيگيرى كند تا قاتل را شناسايى نمايد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";;;"0";
"99";"احكام شوراهاى حلّ اختلاف";"اخيرا در محله  ها و مناطق مختلف كشور با جمع عدّه  اى از معتمدين، شوراهاى حلّ اختلاف تشكيل شده كه در كارگشايى امور قضايى مردم بسيار موثر بوده است، احكام صادر شده توسط چنين شوراهايى مى  تواند مشروعيت داشته و مبناى عمل طرفين دعوا قرار گيرد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";;;"0";
"100";"شهود غير عادل";"آيا قاضى مى  تواند بر اساس شهادت شهودى كه عدالتشان به اثبات نرسيده، به عنوان اماره يا مستند علم خود حكم دهد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";;;"0";
"101";"نقش فاكس، فيلم، عكس و .... در حكم قاضى";"آيا اسناد كه به وسيله فاكس، فيلم، عكس، نوار ضبط، اينترنت، و... تهيه مى  شود، مى  تواند مبناى اثبات يا ردّ ادعايى در محاكم شده و مبناى حكم و يا مؤيّد باشند؟";"مذهبی";"حقوق/قانون";"فنی";"0";;"نظر";"بله/خیر";;"0";
"102";"اثبات جرم از راه پزشكى قانونى";"آيا اثبات جرم به غير از دستورات شرع از طرق ديگر ـ مثل نظريه پزشك قانونى ـ امكان  پذير است؟ و آيا نظر پزشكى قانونى مى  تواند مستند براى حكم دادگاه باشد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"103";"تشخيص پزشك در تحقق زنا و لواط";"تشخيص پزشك مبنى بر تحقق زنا و لواط و اظهار به وجود منى در مجرا و امثال آن، آيا مى تواند مبناى اثبات حكم زنا و لواط قرار گيرد؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"104";"فحاشى نسبت به خداوند";"شخصى نه اهل نماز و نه روزه است، در حين صحبت با همكارانش و يا هنگام خشم، نعوذ باللّه  نسبت به خداوند متعال فحّاشى نموده است و بار دوم تكرار نموده است و گفته است چه كسى آخرت را ديده، تكليف شرعى ما در اين باره چيست؟ مرقوم فرماييد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"105";"فحاشى نسبت به خداوند";"چنان چه فرد مسلمان فطرى به زبان بگويد: «كدام دين، كدام قرآن، پيامبر و على و امام مهدى چه كسى بودند...» آيا چنين كلماتى از مصاديق ارتداد است؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"106";"پاره كردن قرآن";"شخصى عصبانى شده و بر اثر خشم و غضب، قرآن كريم را پاره پاره نموده و بعدا پشيمان شده است، در حال حاضر چنين شخصى چه حكمى دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"توضیح";;"0";
"107";"اهانت همسر به قرآن";"وظيفه مردى كه همسرش به قرآن اهانت نموده و مقدسات دين را منكر شود چيست؟";"مذهبی";;;"0";;"نظر";;;"0";
"108";"كشتن افرادى كه خون آن ها هدر است ";"آيا مى  توان افرادى كه مهدورالدم هستند، بدون مراجعه به دادگاه آن ها را به قتل رساند؟";"مذهبی";"حقوق/قانون";;"0";;"بله/خیر";"نظر";;"0";
"109";"مجرى حكم اعدام مرتد";"حكم اعدام افراد تحت شمول سابّ النبى و مرتد را چه كسى مى  تواند اجرا كند؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"110";"فرق شبهه اعتقادى و ارتداد";"در ذهن بسيارى از جوان ها، شبهاتى اعتقادى راجع به توحيد، معاد و نبوت و امامت وجود دارد كه اين شبهات در رفتار و گفتار آنان تأثير گذاشته و گاه الفاظى كه بوى شرك و كفر و بى  دينى مى  دهد، از آنان صادر مى  شود و يا حتى نماز و روزه را ترك مى  كنند، در صورتى كه اگر مشكل اعتقادى يا عاطفى آنان حل شده و شبهات آن ها از طريق درست پاسخ گفته شود، افراد معتقدى مى  شوند، آيا مى  توان چنين افرادى را كافر و مرتد دانست؟ و اگر اين حالت در آنان ادامه پيدا كند چه طور؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"111";"جراحى زن حامله";"اگر زن حامله اى بر اثر حادثه تصادف و مانند آن بميرد و فرزند او در شكمش زنده باشد، وظيفه چيست؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"112";"بچه مرده در رحم مادر";"اگر بچه در رحم مادر بميرد و باقى ماندن او در شكم مادر خطرآفرين باشد چه بايد كرد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"113";"ديه تشريح مسلمان";"آيا تشريح بدن مسلمان موجب ديه است؟ در صورت اثبات ديه اگر يكى از ارگان هاى دولتى و يا آموزشى بدن مجهول الهويه اى را تشريح كرد، ديه آن را به چه كسى بايد بپردازد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"114";"فروختن اعضاى ميّت";"آيا اولياى ميّت، مى توانند اعضاى ميّت را به بيماران نيازمند بفروشند؟ ";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"115";"تشريح بدن مسلمان";"آيا تشريح بدن ميّت مسلمان جايز است؟ و اگر پيشبرد علم پزشكى مبتنى بر آن باشد، چه حكمى دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"116";"استفاده از اعضاى كسى كه فوت مغزى نموده";"آيا مى توان اعضاى شخصى را كه دچار مرگ مغزى شده است (و از لحاظ پزشكى اميدى به زنده ماندن وى نيست، ولى برخى اعضا مثل قلب وى براى مدتى كار مى كنند) به بيمارى كه محتاج است پيوند زد؟ (با توجه به اين كه در صورت صبر، ممكن است ديگر، قابل پيوند نباشند).";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"117";"تشريح كسى كه وصيت به تشريح نموده";"آيا تشريح مسلمانى كه وصيت كرده بعد از وفاتش، وى را تشريح كنند، جايز است؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"118";"تشريح جسد مجهول الاسلام";"اگر ندانيم جسدى كه در اختيار ما است جسد يك مسلمان است يا كافر يا اهل كتاب، آيا مجازيم آن را تشريح نماييم؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"119";"حرمت تشريح جسد مسلمان";"آيا تفاوتى بين اهل تسنن و اهل تشيّع در عدم جواز تشريح جسد، وجود دارد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"120";"تشريح جسد اعدام شدگان";"آيا مى توان جسد افراد به ظاهر مسلمان (مسلمان شناسنامه اى) را كه به خاطر ارتداد، فساد اخلاقى، قاچاق مواد مخدر، مسايل سياسى و... اعدام شده اند، تشريح نمود؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"121";"استفاده از اعضاى ميّت براى پيوند با اجازه ى ولىّ";"اگر شخصى در طول زندگى اش نظر مخالف يا موافقى در مورد پيوند اعضايش نداشت، آيا پس از مرگش مى توان با اجازه ى ولىّ وى چنين كارى را انجام داد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"122";"اجازه ى ولى براى استفاده از اعضاى ميّت با عدم رضايت قبلى ميّت";"اگر شخصى از پيوند اعضاى خود به ديگران پس از مرگش ناراضى باشد، ولى پس از وفاتش ولىّ وى مايل به اين كار باشد، آيا مى توان چنين كارى را انجام داد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"123";"پيوند اعضا";"اگر ميّت در زمان حيات اجازه دهد كه اعضاى بدن او را پس از مرگ جدا كرده و به بيماران نيازمند پيوند بزنند، اين عمل جايز است؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";;;"0";
"124";"وصيت ميّت براى پيوند اعضا و عدم رضايت ولىّ";"اگر شخصى وصيت كند بعد از وفاتش، اعضايش را به ديگران پيوند زنند، اما ولىّ وى پس از مرگش از اين كار ناراضى باشد، آيا اين كار را بدون اجازه ى ولى مى توان انجام داد؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
"125";"وصيت ميّت براى پيوند اعضا بعد از موت";"اگر شخصى وصيت كند بعد از وفاتش، اعضاى قابل پيوندش را به بيماران پيوند زنند، آيا مجاز به اين كار هستيم؟";"مذهبی";"حقوق/قانون";;"0";;"نظر";"بله/خیر";;"0";
