;term;TF-IDF;num_q;f_in_q
837;مرگش;223.025930227;3.0;[[120, 1], [121, 1], [123, 1]]
838;ولىّ;223.025930227;3.0;[[120, 1], [121, 1], [123, 1]]
839;كارى;164.360193972;2.0;[[120, 1], [121, 1]]
840;ديگران;224.042893417;4.0;[[121, 1], [123, 1], [951, 1], [1381, 1]]
841;ناراضى;152.76511856;2.0;[[121, 1], [123, 1]]
842;مايل;88.6144324928;1.0;[[121, 1]]
843;حيات;188.281938841;2.0;[[122, 1], [2491, 1]]
844;جدا;948.094571467;16.0;[[122, 1], [127, 1], [961, 1], [962, 1], [987, 1], [1158, 1], [1230, 1], [1530, 1], [1539, 1], [1546, 1], [1747, 1], [1847, 1], [2397, 1], [2415, 1], [2427, 1], [2487, 1]]
845;بزنند;337.271263588;3.0;[[122, 1], [125, 1], [155, 1]]
846;زنند;195.128554799;2.0;[[123, 1], [124, 1]]
847;اما;2872.74079863;110.0;[[123, 1], [172, 1], [173, 1], [175, 1], [692, 1], [907, 1], [912, 1], [917, 1], [921, 2], [926, 2], [939, 1], [942, 2], [943, 3], [945, 1], [963, 1], [970, 2], [982, 1], [1022, 1], [1023, 3], [1025, 1], [1031, 1], [1036, 1], [1041, 1], [1044, 1], [1045, 1], [1061, 1], [1065, 1], [1070, 1], [1074, 2], [1085, 1], [1099, 1], [1103, 1], [1138, 1], [1145, 1], [1152, 1], [1190, 2], [1210, 1], [1226, 1], [1240, 2], [1242, 2], [1287, 1], [1288, 1], [1289, 1], [1306, 2], [1319, 1], [1338, 1], [1343, 1], [1344, 1], [1348, 1], [1350, 1], [1351, 2], [1366, 2], [1368, 2], [1377, 1], [1387, 1], [1418, 1], [1429, 1], [1431, 1], [1433, 2], [1436, 1], [1476, 1], [1504, 1], [1507, 2], [1514, 1], [1520, 1], [1527, 1], [1528, 1], [1538, 3], [1542, 1], [1547, 1], [1554, 1], [1578, 1], [1619, 2], [1638, 1], [1639, 1], [1649, 1], [1670, 1], [1671, 1], [1677, 1], [1680, 1], [1685, 1], [1690, 1], [1698, 1], [1700, 1], [1715, 1], [1720, 1], [1821, 1], [1826, 1], [1831, 1], [1832, 1], [1838, 1], [1839, 2], [1840, 1], [1847, 1], [1848, 1], [1851, 1], [1852, 2], [1855, 2], [1866, 1], [1871, 1], [1882, 1], [1883, 2], [1943, 1], [2018, 1], [2055, 1], [2101, 1], [2159, 1], [2573, 1], [2703, 1], [2776, 1]]
848;پيوندش;135.03151618;1.0;[[124, 1]]
849;هستيم;135.03151618;1.0;[[124, 1]]
850;عضوى;128.89371999;1.0;[[125, 1]]
851;حيوانات;543.002513078;4.0;[[125, 1], [137, 1], [140, 1], [2338, 1]]
852;انسان;1426.05327449;15.0;[[125, 1], [907, 1], [949, 3], [969, 1], [1164, 1], [1175, 1], [1418, 1], [1736, 1], [1750, 1], [2251, 1], [2287, 1], [2337, 2], [2618, 1], [2643, 1], [2766, 1]]
853;اشكال;592.72452174;5.0;[[125, 1], [127, 1], [132, 1], [941, 1], [1178, 1]]
854;نجاست;158.717006296;2.0;[[125, 1], [156, 1]]
855;طهارت;128.89371999;1.0;[[125, 1]]
856;عضو;996.819648015;8.0;[[125, 1], [458, 1], [693, 1], [994, 1], [1536, 1], [1756, 1], [1853, 1], [2160, 1]]
857; فرماييد;113.426473591;1.0;[[126, 1]]
858;ميليون;226.852947182;1.0;[[126, 2]]
859;تومان;876.783195427;8.0;[[126, 2], [127, 2], [132, 2], [133, 2], [1261, 1], [1263, 1], [1264, 1], [1543, 1]]
860;دويست;113.426473591;1.0;[[126, 1]]
861;هزار;824.067868457;12.0;[[126, 1], [127, 2], [129, 1], [132, 1], [956, 1], [1094, 1], [1261, 1], [1263, 1], [1264, 1], [1265, 1], [1498, 1], [1821, 1]]
862;نسيه;211.355034619;2.0;[[126, 1], [132, 1]]
863;بفروشيم;113.426473591;1.0;[[126, 1]]
864;شش;742.760173181;11.0;[[126, 1], [152, 1], [981, 1], [1074, 1], [1471, 2], [1502, 1], [1629, 1], [1666, 1], [1881, 1], [2571, 1], [2626, 1]]
865;بگيريم;136.489251526;2.0;[[126, 1], [1824, 2]]
866;نوزده;118.152576657;1.0;[[127, 1]]
867;اسكناس;526.053116022;4.0;[[127, 1], [132, 1], [133, 2], [135, 2]]
868;بيست;130.338730311;2.0;[[127, 1], [900, 1]]
869;ساله;2641.85598485;90.0;[[127, 1], [550, 1], [551, 1], [900, 2], [909, 1], [912, 1], [913, 1], [926, 1], [936, 1], [938, 1], [942, 1], [964, 1], [970, 1], [975, 1], [1016, 3], [1017, 1], [1020, 1], [1073, 1], [1075, 1], [1076, 1], [1078, 1], [1105, 1], [1111, 1], [1126, 1], [1128, 1], [1176, 1], [1177, 1], [1179, 1], [1224, 1], [1226, 1], [1228, 1], [1230, 1], [1242, 1], [1248, 1], [1277, 1], [1279, 2], [1281, 2], [1287, 1], [1288, 4], [1302, 1], [1315, 1], [1316, 1], [1321, 1], [1384, 1], [1402, 1], [1416, 1], [1421, 1], [1429, 1], [1432, 1], [1435, 1], [1438, 1], [1439, 1], [1454, 1], [1458, 1], [1461, 1], [1466, 1], [1469, 1], [1484, 1], [1489, 1], [1502, 1], [1508, 1], [1569, 1], [1603, 1], [1609, 1], [1612, 1], [1625, 1], [1650, 1], [1676, 1], [1678, 1], [1679, 1], [1686, 1], [1689, 1], [1692, 1], [1700, 1], [1701, 1], [1715, 1], [1822, 1], [1824, 1], [1833, 1], [1840, 1], [1845, 1], [1896, 1], [1897, 1], [1898, 1], [1899, 1], [2059, 1], [2060, 1], [2391, 1], [2450, 1], [2772, 1]]
870;قصد;1035.76149834;23.0;[[127, 1], [926, 1], [951, 1], [961, 1], [1062, 1], [1154, 1], [1240, 1], [1337, 1], [1372, 1], [1417, 1], [1531, 1], [1539, 1], [1564, 1], [1648, 1], [1697, 1], [1735, 1], [1814, 1], [1823, 1], [1839, 1], [2055, 1], [2361, 1], [2506, 1], [2759, 1]]
871;ريال;630.147075504;1.0;[[128, 2]]
872; شود;144.189732072;2.0;[[129, 1], [138, 1]]
873;يكصد;202.547274269;1.0;[[129, 2]]
874;هرند;101.273637135;1.0;[[129, 1]]
875;افغانى;101.273637135;1.0;[[129, 1]]
876;سى;101.273637135;1.0;[[129, 1]]
877;مدّت;221.830357034;2.0;[[129, 1], [131, 1]]
878;فروخت;101.273637135;1.0;[[129, 1]]
879;چيز;293.638772199;5.0;[[129, 1], [902, 1], [912, 1], [945, 1], [2337, 1]]
880;ضميمه;101.273637135;1.0;[[129, 1]]
881;بشود;367.707897306;4.0;[[129, 1], [1465, 1], [1783, 1], [2523, 1]]
882;ربا;260.312894689;3.0;[[129, 1], [131, 1], [1729, 1]]
883;نيايد;101.273637135;1.0;[[129, 1]]
884;معامله;296.950914287;3.0;[[130, 1], [132, 1], [135, 1]]
885; ى;206.723630211;2.0;[[130, 1], [135, 1]]
886;نقدين;135.03151618;1.0;[[130, 1]]
887;وجوب;295.773809379;2.0;[[130, 1], [1753, 1]]
888;قبض;135.03151618;1.0;[[130, 1]]
889;اقباض;135.03151618;1.0;[[130, 1]]
890;مجلس;135.03151618;1.0;[[130, 1]]
891;عقد;1356.68529815;20.0;[[130, 1], [295, 1], [961, 2], [1060, 1], [1074, 1], [1126, 2], [1168, 1], [1226, 1], [1408, 1], [1422, 2], [1529, 2], [1535, 1], [1539, 1], [1545, 1], [1847, 1], [2486, 1], [2583, 1], [2633, 1], [2651, 1], [2722, 1]]
892;اعتبارى;135.03151618;1.0;[[130, 1]]
893;مترتّب;135.03151618;1.0;[[130, 1]]
894;دلار;252.038645483;3.0;[[131, 1], [132, 1], [1811, 1]]
895;دار;1142.45844424;16.0;[[131, 1], [398, 1], [427, 1], [941, 1], [1023, 2], [1074, 1], [1247, 1], [1280, 1], [1288, 1], [1536, 1], [1537, 2], [1648, 1], [1797, 1], [1804, 1], [1895, 1], [2398, 1]]
896;شركتى;141.783091988;1.0;[[131, 1]]
897;فروختم;153.364197456;2.0;[[131, 1], [1544, 1]]
898;مقابل;1272.53227756;13.0;[[131, 1], [133, 1], [905, 1], [949, 1], [959, 1], [1128, 1], [1380, 1], [1430, 1], [1503, 1], [1841, 1], [2441, 1], [2583, 1], [2770, 1]]
899;چك;141.783091988;1.0;[[131, 1]]
900;ريالى;141.783091988;1.0;[[131, 1]]
901;نمودم;258.266178089;6.0;[[131, 1], [1422, 1], [1471, 1], [1504, 1], [1526, 1], [1697, 2]]
902;صرّافى;118.152576657;1.0;[[132, 1]]
903;نقد;477.55146306;2.0;[[132, 1], [2485, 1]]
904;نهصد;118.152576657;1.0;[[132, 1]]
905;تعويض;382.304613382;3.0;[[133, 1], [1823, 2], [1971, 2]]
906;سكّه;218.127833828;1.0;[[133, 2]]
907;پنجاه;870.305108895;4.0;[[133, 1], [612, 1], [613, 1], [1084, 1]]
908;چهل;109.063916914;1.0;[[133, 1]]
909;پنج;549.343861125;9.0;[[133, 1], [933, 2], [1332, 1], [1608, 1], [1648, 1], [1661, 1], [1673, 1], [1720, 1], [2059, 1]]
910;بگيرد;109.063916914;1.0;[[133, 1]]
911;مثليّات;202.547274269;1.0;[[134, 1]]
912;قيميّات;202.547274269;1.0;[[134, 1]]
913;اصولاً;202.547274269;1.0;[[134, 1]]
914;ملاك;308.097718103;2.0;[[134, 1], [991, 1]]
915;مثلى;202.547274269;1.0;[[134, 1]]
916;قيمى;202.547274269;1.0;[[134, 1]]
917;تقلبى;91.4729625732;1.0;[[135, 1]]
918;شرعا;104.525362743;2.0;[[135, 1], [961, 1]]
919;قبال;256.019265108;2.0;[[135, 1], [2158, 1]]
920;فروخته;189.571077132;3.0;[[135, 1], [1519, 1], [1787, 1]]
921;خدمتى;91.4729625732;1.0;[[135, 1]]
922;مقدارى;78.768384438;1.0;[[136, 1]]
923;گوسفند;78.768384438;1.0;[[136, 1]]
924;دام;372.529715384;3.0;[[136, 2], [138, 1], [2349, 1]]
925;پرور;78.768384438;1.0;[[136, 1]]
926; دهد;78.768384438;1.0;[[136, 1]]
927;6;1255.00895657;21.0;[[136, 1], [205, 1], [677, 1], [880, 1], [881, 1], [981, 1], [1231, 1], [1242, 1], [1286, 1], [1328, 1], [1374, 1], [1452, 1], [1474, 1], [1501, 1], [1826, 1], [1829, 1], [1831, 1], [1862, 1], [1889, 1], [2142, 1], [2492, 1]]
928;پروار;78.768384438;1.0;[[136, 1]]
929;چاق;1186.83861068;8.0;[[136, 1], [1047, 1], [1285, 1], [1319, 1], [1597, 2], [1938, 1], [1940, 2], [1978, 1]]
930;جاى;267.018022356;2.0;[[136, 2], [991, 1]]
931;وزن;5569.99198476;71.0;[[136, 1], [275, 1], [866, 1], [867, 1], [868, 1], [871, 1], [872, 1], [873, 1], [875, 1], [876, 1], [877, 1], [879, 1], [883, 1], [884, 1], [885, 1], [886, 1], [887, 1], [888, 1], [1017, 1], [1020, 1], [1030, 1], [1031, 2], [1032, 1], [1033, 1], [1098, 1], [1206, 1], [1279, 2], [1286, 1], [1287, 2], [1288, 2], [1302, 1], [1311, 1], [1312, 1], [1313, 1], [1317, 1], [1328, 1], [1330, 2], [1331, 1], [1469, 1], [1606, 1], [1609, 2], [1623, 1], [1663, 2], [1936, 3], [1937, 1], [1938, 1], [1984, 1], [2127, 1], [2128, 1], [2129, 1], [2132, 1], [2133, 1], [2134, 1], [2135, 1], [2137, 1], [2138, 1], [2139, 1], [2141, 1], [2144, 1], [2145, 1], [2146, 1], [2147, 1], [2148, 1], [2149, 1], [2482, 1], [2544, 1], [2545, 1], [2546, 1], [2586, 1], [2626, 2], [2691, 1]]
932;گوسفندها;78.768384438;1.0;[[136, 1]]
933;گوشت;2492.931154;15.0;[[136, 1], [985, 1], [1312, 1], [2030, 1], [2087, 1], [2237, 1], [2338, 1], [2394, 1], [2398, 1], [2399, 1], [2419, 1], [2447, 1], [2458, 1], [2699, 1], [2791, 1]]
934;دلفين;149.245359988;1.0;[[137, 1]]
935;شير;149.245359988;1.0;[[137, 1]]
936;دريايى;298.490719976;1.0;[[137, 2]]
937;خرچنگ;653.815789154;2.0;[[137, 1], [2581, 1]]
938;كلى;149.245359988;1.0;[[137, 1]]
939;دسته;534.73499737;4.0;[[138, 1], [214, 1], [547, 1], [1853, 1]]
940;آبزيان;56.7132367954;1.0;[[138, 1]]
941;حرام;1635.13092821;8.0;[[138, 1], [139, 1], [1109, 1], [1159, 1], [2087, 1], [2237, 1], [2239, 1], [2660, 1]]
942;آب;5039.00009605;44.0;[[138, 1], [776, 1], [791, 1], [871, 1], [874, 1], [1058, 1], [1099, 1], [1281, 1], [1315, 1], [1328, 1], [1391, 1], [1478, 1], [1584, 1], [1586, 1], [1620, 1], [1769, 1], [1784, 1], [1818, 1], [1946, 1], [1966, 1], [1976, 1], [1981, 1], [2059, 1], [2084, 1], [2133, 1], [2136, 1], [2277, 1], [2326, 1], [2419, 1], [2426, 1], [2456, 1], [2541, 1], [2611, 2], [2616, 1], [2696, 1], [2725, 1], [2732, 2], [2733, 1], [2734, 1], [2739, 2], [2740, 1], [2741, 2], [2742, 1], [2743, 1]]
943;گرفته;1119.02947309;25.0;[[138, 1], [285, 1], [759, 1], [951, 1], [1029, 1], [1182, 1], [1292, 1], [1348, 1], [1501, 1], [1503, 1], [1511, 1], [1515, 1], [1528, 1], [1530, 1], [1538, 1], [1543, 1], [1544, 1], [1729, 1], [1774, 1], [1852, 1], [1866, 1], [1973, 1], [2082, 1], [2540, 1], [2622, 1]]
944;ميته;56.7132367954;1.0;[[138, 1]]
945;نباشد;878.274785947;10.0;[[138, 1], [708, 1], [1311, 1], [1346, 1], [1423, 1], [1475, 1], [1505, 1], [1748, 1], [2175, 1], [2424, 1]]
946;خوراك;56.7132367954;1.0;[[138, 1]]
947;طيور;56.7132367954;1.0;[[138, 1]]
948;بعض;56.7132367954;1.0;[[138, 1]]
949;صنعتى;56.7132367954;1.0;[[138, 1]]
950;ماهى;123.289645207;1.0;[[139, 1]]
951; هاى;123.289645207;1.0;[[139, 1]]
952;كفّار;123.289645207;1.0;[[139, 1]]
953;حاصل;772.103129084;6.0;[[139, 1], [598, 1], [905, 1], [999, 1], [1380, 1], [1760, 1]]
954;مصرف;5558.41177471;82.0;[[139, 1], [282, 2], [738, 1], [764, 1], [828, 1], [870, 1], [871, 1], [872, 1], [876, 1], [880, 1], [882, 1], [886, 1], [889, 1], [1035, 1], [1049, 1], [1099, 1], [1132, 1], [1275, 1], [1279, 2], [1280, 1], [1281, 1], [1294, 2], [1296, 2], [1298, 2], [1300, 3], [1302, 1], [1308, 1], [1309, 1], [1312, 2], [1316, 2], [1329, 1], [1484, 1], [1486, 1], [1587, 1], [1588, 1], [1589, 1], [1596, 3], [1599, 1], [1600, 2], [1610, 2], [1624, 3], [1627, 2], [1639, 1], [1645, 1], [1650, 1], [1652, 1], [1669, 1], [1711, 1], [1732, 1], [1761, 3], [1849, 1], [1863, 2], [1889, 1], [1899, 1], [1938, 1], [1939, 1], [1943, 1], [1944, 1], [1945, 1], [2070, 1], [2072, 1], [2090, 2], [2096, 1], [2131, 1], [2132, 1], [2133, 1], [2134, 1], [2138, 1], [2142, 1], [2143, 1], [2147, 1], [2150, 1], [2204, 1], [2399, 1], [2420, 1], [2471, 1], [2517, 1], [2518, 1], [2546, 1], [2548, 1], [2550, 1], [2764, 1]]
955;حكومت;123.289645207;1.0;[[139, 1]]
956;اسلامى;123.289645207;1.0;[[139, 1]]
957;بدهند;326.108765034;3.0;[[139, 1], [591, 1], [1966, 1]]
958;پرندگان;323.502604008;2.0;[[140, 1], [1999, 1]]
959;وحشى;177.228864986;1.0;[[140, 1]]
960;نگهدارى;177.228864986;1.0;[[140, 1]]
961;قفس;188.709852338;2.0;[[140, 1], [910, 1]]
962;مراد;405.094548539;1.0;[[142, 1]]
963;ارمنى;257.787439979;1.0;[[143, 1]]
964;مسيحى;257.787439979;1.0;[[143, 1]]
965;كليمى;257.787439979;1.0;[[143, 1]]
966;يهودى;257.787439979;1.0;[[143, 1]]
967;زرتشتى;257.787439979;1.0;[[143, 1]]
968;ارامنه;257.787439979;1.0;[[144, 1]]
969;دست;2200.13112645;38.0;[[145, 1], [251, 1], [599, 1], [692, 1], [857, 1], [913, 1], [921, 1], [934, 1], [936, 1], [958, 1], [1006, 1], [1103, 1], [1162, 1], [1184, 1], [1229, 1], [1236, 1], [1280, 1], [1295, 1], [1303, 1], [1416, 1], [1436, 1], [1439, 1], [1506, 1], [1515, 1], [1530, 2], [1546, 1], [1577, 1], [1842, 1], [1849, 1], [1887, 1], [2092, 1], [2110, 1], [2159, 1], [2328, 1], [2365, 1], [2429, 1], [2617, 1], [2699, 1]]
970;مسيحيان;472.610306628;1.0;[[145, 1]]
971;معاشرت;446.375473365;4.0;[[146, 1], [147, 1], [927, 1], [1532, 2]]
972;داشت;1537.78673076;21.0;[[146, 1], [300, 1], [454, 1], [503, 1], [732, 1], [733, 1], [934, 1], [1230, 1], [1353, 1], [1434, 1], [1507, 1], [1508, 1], [1520, 1], [1842, 1], [1873, 1], [1878, 2], [1881, 1], [2198, 1], [2199, 1], [2564, 1], [2708, 1]]
973;طعام;189.044122651;1.0;[[146, 1]]
974;غذا;1076.56810047;13.0;[[147, 1], [1100, 1], [1127, 1], [1282, 1], [1286, 1], [1487, 1], [1580, 1], [1657, 1], [1736, 1], [1881, 1], [2068, 1], [2458, 1], [2702, 1]]
975;رفت;743.072393641;16.0;[[147, 1], [793, 1], [913, 1], [1058, 1], [1167, 1], [1174, 1], [1416, 1], [1481, 1], [1509, 1], [1525, 1], [1540, 1], [1541, 1], [1650, 1], [1821, 1], [1837, 1], [2042, 1]]
976;آمد;1063.29526427;13.0;[[147, 1], [793, 1], [1058, 1], [1167, 1], [1174, 1], [1460, 1], [1502, 1], [1509, 1], [1837, 1], [2041, 1], [2114, 1], [2621, 1], [2773, 1]]
977;فرقه;462.790909036;3.0;[[147, 1], [151, 1], [152, 1]]
978;بهاييّت;218.127833828;1.0;[[147, 1]]
979;خارج;2179.53052994;25.0;[[148, 1], [308, 1], [326, 1], [330, 1], [377, 1], [409, 1], [414, 1], [799, 1], [949, 1], [1041, 1], [1048, 1], [1230, 1], [1315, 1], [1495, 1], [1498, 1], [1673, 1], [1689, 2], [1761, 1], [1811, 1], [1816, 1], [1874, 1], [2083, 1], [2487, 1], [2488, 1], [2615, 1]]
980;نجس;876.806357007;6.0;[[148, 1], [149, 1], [151, 1], [155, 1], [2088, 1], [2275, 1]]
981;بينيم;128.89371999;1.0;[[148, 1]]
982;بهداشت;550.567719346;5.0;[[148, 1], [1547, 1], [1711, 1], [2236, 1], [2626, 1]]
983;نظافت;128.89371999;1.0;[[148, 1]]
984;رعايت;333.305713221;2.0;[[148, 1], [1457, 1]]
985;حقّ;312.719183875;2.0;[[149, 1], [1729, 1]]
986;اللهى;283.566183977;1.0;[[149, 1]]
987;پاك;629.805755633;7.0;[[149, 1], [151, 1], [152, 1], [155, 1], [907, 1], [1418, 1], [1438, 1]]
988;اماكن;164.318782988;2.0;[[150, 1], [156, 1]]
989;مقدسه;135.03151618;1.0;[[150, 1]]
990;حرم;271.125991931;2.0;[[150, 2], [943, 1]]
991;امامان;135.03151618;1.0;[[150, 1]]
992;حضرت;609.646727128;7.0;[[150, 1], [1411, 1], [1412, 1], [1414, 3], [1476, 1], [1632, 1], [1761, 1]]
993;معصومه;135.03151618;1.0;[[150, 1]]
994;عليهاالسّلام;135.03151618;1.0;[[150, 1]]
995;هايى;388.20312481;2.0;[[151, 1], [924, 1]]
996;قبيل;150.441861376;2.0;[[151, 1], [951, 1]]
997;صوفيه;291.152343608;2.0;[[151, 1], [152, 1]]
998;دراويش;141.783091988;1.0;[[151, 1]]
999;شيخيه;141.783091988;1.0;[[151, 1]]
1000;افكار;218.643139261;2.0;[[151, 1], [1427, 1]]
1001;اعمال;521.072129568;7.0;[[151, 1], [540, 1], [705, 1], [1344, 1], [1682, 1], [1747, 1], [2172, 1]]
1002;امامى;354.457729971;1.0;[[152, 2]]
1003;هفت;490.238652604;4.0;[[152, 1], [500, 1], [1461, 1], [2687, 1]]
1004;توهين;215.232708929;2.0;[[153, 2], [939, 1]]
1005;فحاشى;105.024512584;1.0;[[153, 1]]
1006;معصومين;105.024512584;1.0;[[153, 1]]
1007;العياذ;105.024512584;1.0;[[153, 1]]
1008;باللّه;105.024512584;1.0;[[153, 1]]
1009;باعث;2639.16087161;42.0;[[153, 1], [156, 1], [201, 1], [907, 1], [1055, 1], [1180, 1], [1268, 1], [1273, 2], [1306, 1], [1328, 1], [1344, 1], [1392, 1], [1410, 1], [1416, 1], [1418, 1], [1468, 1], [1499, 1], [1508, 1], [1535, 1], [1579, 1], [1597, 1], [1600, 1], [1607, 2], [1635, 1], [1636, 1], [1680, 1], [1691, 1], [1711, 1], [1739, 1], [1937, 1], [1957, 1], [1981, 1], [2071, 1], [2072, 1], [2107, 1], [2121, 1], [2260, 1], [2502, 1], [2517, 1], [2528, 1], [2585, 1], [2625, 1]]
1010;بينند;126.66239522;2.0;[[153, 1], [956, 1]]
1011;مكرّر;105.024512584;1.0;[[153, 1]]
1012;عصبانيت;118.152576657;1.0;[[154, 2]]
1013;مشكلات;127.860553013;2.0;[[154, 1], [1381, 1]]
1014;كفرگويى;59.0762883285;1.0;[[154, 1]]
1015;مرتدّ;59.0762883285;1.0;[[154, 1]]
1016;سلب;216.624922666;3.0;[[154, 1], [1761, 1], [2085, 1]]
1017;صادق;59.0762883285;1.0;[[154, 1]]
1018;توبه;256.666757169;5.0;[[154, 1], [912, 1], [913, 2], [945, 1], [1196, 1]]
1019;مقبول;59.0762883285;1.0;[[154, 1]]
1020;جزيى;157.536768876;1.0;[[155, 1]]
1021;قبلاً;261.401308296;4.0;[[156, 1], [735, 1], [1702, 1], [2201, 1]]
1022;خويش;184.858630862;2.0;[[156, 1], [269, 1]]
1023;خانواده;2381.83226824;44.0;[[156, 1], [301, 1], [302, 1], [477, 1], [873, 1], [909, 1], [912, 1], [913, 1], [927, 1], [934, 1], [940, 1], [953, 1], [954, 2], [956, 1], [959, 2], [1073, 1], [1126, 2], [1167, 2], [1168, 1], [1194, 1], [1226, 3], [1231, 1], [1236, 2], [1240, 1], [1268, 1], [1425, 1], [1438, 4], [1448, 1], [1450, 1], [1545, 1], [1701, 1], [1715, 1], [1828, 1], [1829, 1], [1830, 1], [1842, 1], [1844, 1], [1847, 2], [2046, 1], [2135, 1], [2608, 1], [2687, 1], [2722, 1], [2780, 1]]
1024;مخفى;45.0105053932;1.0;[[156, 1]]
1025;نگه;950.66876269;9.0;[[156, 1], [1007, 1], [1165, 1], [1551, 1], [1806, 1], [1992, 1], [2005, 1], [2357, 1], [2472, 1]]
1026;بدين;256.748098419;2.0;[[156, 1], [1956, 2]]
1027;ترتيب;290.8523963;3.0;[[156, 1], [292, 1], [1170, 1]]
1028;اشيا;90.0210107863;1.0;[[156, 2]]
1029;ابتلا;345.650673864;3.0;[[156, 1], [1636, 1], [1906, 1]]
1030;حالا;1105.03395939;45.0;[[156, 1], [554, 1], [907, 1], [933, 1], [941, 1], [943, 1], [945, 1], [950, 1], [953, 1], [964, 1], [1017, 1], [1078, 1], [1080, 1], [1084, 1], [1116, 1], [1130, 1], [1232, 2], [1249, 1], [1296, 1], [1302, 1], [1306, 1], [1315, 1], [1343, 1], [1358, 1], [1418, 1], [1438, 1], [1506, 2], [1516, 1], [1528, 1], [1534, 1], [1546, 1], [1609, 1], [1697, 1], [1700, 1], [1702, 1], [1721, 1], [1725, 1], [1769, 1], [1811, 1], [1816, 1], [1821, 1], [1823, 1], [1840, 2], [1848, 1], [2764, 1]]
1031;برگشته;76.0529502345;2.0;[[156, 1], [1649, 1]]
1032;توجّه;45.0105053932;1.0;[[156, 1]]
1033;تطهير;45.0105053932;1.0;[[156, 1]]
1034;عسر;89.006007452;2.0;[[156, 1], [1532, 1]]
1035;حرج;89.006007452;2.0;[[156, 1], [1532, 1]]
1036;اطرافيان;127.347056816;2.0;[[156, 1], [1386, 1]]
1037;نمى;170.079401265;3.0;[[156, 1], [1158, 1], [1646, 2]]
1038;گويند;504.308660305;4.0;[[157, 1], [1190, 1], [1205, 1], [2338, 1]]
1039;بخواهد;249.087106733;3.0;[[157, 1], [970, 1], [2488, 1]]
1040;اديان;297.381275734;2.0;[[157, 1], [2338, 1]]
1041;پيامبران;123.289645207;1.0;[[157, 1]]
1042;اولوالعزم;123.289645207;1.0;[[157, 1]]
1043;بپيوندد;248.734267613;2.0;[[157, 1], [158, 1]]
1044;اخروى;149.245359988;1.0;[[158, 1]]
1045;سرنوشتى;149.245359988;1.0;[[158, 1]]
1046;سپرده;1955.29902533;8.0;[[159, 1], [160, 1], [161, 1], [162, 1], [446, 2], [609, 1], [610, 1], [676, 1]]
1047;سرمایه;2318.941705;12.0;[[159, 1], [162, 1], [1535, 1], [2093, 1], [2473, 1], [2474, 1], [2475, 1], [2476, 1], [2478, 1], [2479, 1], [2480, 1], [2481, 1]]
1048;گذاری;2294.50732106;14.0;[[159, 1], [162, 1], [1247, 1], [1575, 1], [1863, 1], [2093, 1], [2362, 1], [2473, 1], [2474, 1], [2475, 1], [2476, 1], [2479, 1], [2480, 1], [2481, 1]]
1049;بلند;1148.53462809;16.0;[[159, 1], [446, 1], [1017, 1], [1018, 1], [1020, 1], [1023, 1], [1081, 1], [1161, 2], [1162, 1], [1195, 1], [1224, 2], [1436, 1], [1514, 1], [1696, 1], [1716, 1], [2442, 1]]
1050;اقساطی;783.081633152;4.0;[[159, 1], [716, 1], [1091, 1], [2183, 1]]
1051;گنجینه;315.073537752;1.0;[[159, 1]]
1052;سپهر;315.073537752;1.0;[[159, 1]]
1053;قرض;761.77068793;4.0;[[160, 1], [161, 1], [2688, 1], [2695, 1]]
1054;الحسنه;582.304687215;2.0;[[160, 1], [161, 1]]
1055;اندازی;1178.54729612;7.0;[[160, 1], [161, 1], [440, 1], [704, 2], [1527, 1], [1871, 1], [2171, 2]]
1056;آینده;738.755843871;13.0;[[160, 1], [1227, 1], [1288, 1], [1335, 1], [1337, 2], [1352, 1], [1364, 1], [1506, 1], [1648, 1], [1706, 1], [2097, 1], [2505, 1], [2506, 1]]
1057;سازان;283.566183977;1.0;[[160, 1]]
1058;بیان;1451.49522605;11.0;[[160, 1], [901, 1], [1462, 1], [1596, 2], [1733, 1], [1837, 1], [1847, 2], [2076, 1], [2084, 1], [2568, 1], [2570, 1]]
