Unnamed: 0;id;title;sentence;subject1;subject2;subject3;subject_notsure;suggested_subject;type1;type2;type3;type_notsure;suggested_type;s1 score;s2 score;s3 score;t1 score;t2 score;t3 score;Avg_sbj_num;Avg_typ_num
59;60;;انتقال وجه به هنگام خرید خودرو چگونه انجام می­شود؟ ;خرید;حقوق و قانون;خودرو;0;;توضیح;;;0;;28;27;18;30;0;0;3.0;1.0
60;61;;در چه مواقعی نمایندگی از مشتری وجه دریافت می­نماید؟ ;حقوق و قانون;خرید;خودرو;0;;توضیح;;;0;;27;25;17;30;0;0;3.0;1.33333333333
61;62;;هنگام مراجعه به نمایندگی برای خرید خودرو چه مدارکی لازم است؟ ;حقوق و قانون;خرید;خودرو;0;;لیست;توضیح;;0;;26;19;19;29;28;0;2.66666666667;2.0
62;63;;پس از ثبت نام، چه مدارکی از سوی نمایندگی ارائه می­گردد؟ ;خرید;حقوق و قانون;خودرو;0;;لیست;;;0;;28;19;18;30;0;0;2.33333333333;1.33333333333
63;64;;در چه مواقعی به سازمان فروش مراجعه نماییم؟ ;خرید;خودرو;;0;;لیست;توضیح;;0;;29;19;0;20;18;0;2.0;1.66666666667
64;65;لزوم اذن مجتهد جامع  الشرایط برای قاضی منصوب;آیا قضاوت غیر مجتهد را جایز می  دانید؟ در صورت عدم جواز، با نبود قاضی مجتهد یا کمبود آن، آیا غیر مجتهد با اجازه مجتهد، می  تواند قضاوت کند؟;مذهبی;حقوق و قانون;;0;;بله/خیر;توضیح;;0;;29;28;0;20;19;0;2.0;1.33333333333
65;66;اجتهاد متجزّی جهت قضا;اگر ارتداد نزد قاضی غیر مجتهد مأذون ثابت شود، آیا اجازه صدور حکم را دارد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;28;0;30;0;0;2.0;1.66666666667
66;67;تعارض حکم قاضی با مرجع تقلید;اگر در موضوعی قاضی، حکم صادر کرد، ولی مرجع تقلید آن را خلاف شرع یا مبتنی بر اشتباه دانست، به کدام یک از دو نظر باید ملتزم شد؟;حقوق و قانون;مذهبی;;0;;توضیح;;;0;;29;28;0;20;0;0;2.0;1.66666666667
67;68;قاضی به نظر خودش عمل می  کند اجتهادا یا تقلیدا;اگر حاکم شرع و قاضی اجتهادا یا تقلیدا نظرش با کسی که نزد او آورده  اند یا با مترافعین در حقوق  اللّه  یا حقوق الناس اختلاف دارد، آیا طبق نظر خود اجتهادا یا تقلیدا باید رأی دهد؟;حقوق و قانون;مذهبی;;0;;توضیح;;;0;;29;28;0;20;0;0;2.0;1.66666666667
68;69;قاضی به نظر خودش عمل می  کند اجتهادا یا تقلیدا;مثلاً فردی را آورده  اند که لواط انجام داده و محصن نیست و او مقلد کسی است که احصان را شرط می  داند و این قاضی در اجرای حد، احصان را شرط نمی  داند، آیا می  تواند حکم به رجم دهد؟;حقوق و قانون;مذهبی;;0;;توضیح;;;0;;29;28;0;19;0;0;2.0;1.66666666667
69;70;قاضی به نظر خودش عمل می  کند اجتهادا یا تقلیدا;یا قاضی اجتهادا یا تقلیدا علم را در حقوق الناس معتبر می  داند و کسی که رجوع نموده یا مترافعین اجتهادا یا تقلیدا معتبر نمی  دانند. آیا قاضی می  تواند طبق نظر خود که علم را معتبر می  داند حکم کند؟ ;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;28;0;30;0;0;2.0;1.33333333333
70;71;موارد حجیّت علم قاضی;در چه مواردی علم قاضی حجت است؟ و آیا راه  ها و مبادی علم او در نتیجه موضوعیت دارد؟;حقوق و قانون;مذهبی;;0;;لیست;;;0;;29;19;0;20;0;0;1.66666666667;1.66666666667
71;72;قسم دادن منکر;آیا قاضی برای قسم دادن منکر، باید با مطالبه شاکی، وی را سوگند دهد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;20;0;0;1.66666666667;1.33333333333
72;73;فرار مجرم;گاهی پیش می  آید که قاضی یا رییس شعبه، شخص مدیون را در اختیار مأمور مراقب قرار می  دهد و مدیون در میانه راه فرار می  کند. آیا آن قاضی و رییس آن شعبه ضامن است؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;20;0;0;1.33333333333;1.33333333333
73;74;ادّعای اشتباه توسط قاضی بعد از برکناری;اگر قاضی پس از القای حکم و زوال او از سِمت قضایی، ادّعا کند در زمان حکم کردن اشتباه کرده و حکم ناقص داده است، حکم صادر شده چه حکمی دارد؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.33333333333;1.0
74;75;پرداخت پول به جای مجازات;آیا مجرمی که به مجازاتی ـ مثل شلاق خوردن ـ محکوم شده، می  تواند با پول از مجازات رهایی پیدا کند؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.66666666667
75;76;قتل اجباری از نظر اسلام;اگر چنان چه فرد در شرایطی قرار گیرد که مجبور به قتل کسی باشد، در اسلام چه حکمی دارد؟;مذهبی;حقوق و قانون;;0;;توضیح;;;0;;29;28;0;20;0;0;2.0;1.0
76;77;کشتن متجاوز جنسی توسّط تجاوز شده;آیا شخص می  تواند کسانی را که نسبت به او تجاوز جنسی کرده اند، در فرصت مناسب بکشد؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.66666666667
77;78;حکم ترور;آیا کشتن افراد به صورت ترور جایز است؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.66666666667
78;79;اقرار همراه با ابهام;فردی اقرار به نسب ابهام و اجمالِ داشته، کرده و شخص اقرارکننده وفات کرده  است و میان ورثه در تعیین و رفع ابهام اختلاف وجود دارد یا تعیین نمی  کنند، بفرمایید ورثه چه وظیفه  ای دارند؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.33333333333;1.0
79;80;اقرار همراه با ابهام;مقرّی به امر مبهمی اقرار کرده و در حالی که قدرت بر تفسیر دارد، از تفسیر امتناع می  کند. تکلیف چیست؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.33333333333;1.0
80;81;زدن به یک نفر به جای زدن به اتوبوس;اگر راننده  ای خود را بین دو امر، تصادف با یک نفر که کنار جاده ایستاده و تصادف با یک مینی بوس یا اتوبوس که عده زیادی سرنشین دارد ببیند و به آن یک نفر زده و وی را بکشد، چه نوع قتلی محسوب می  شود؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.66666666667;1.33333333333
81;82;تفاوت نفی بلد با تبعید;تفاوت نفی بلد با تبعید و آواره نمودن دایمی چیست؟;حقوق و قانون;;;0;;توضیح;;;0;;28;0;0;20;0;0;1.33333333333;1.33333333333
82;83;نسبت زنا به علّت عدم بکارت;آیا به صرف بکر نبودن زوجه، می  توان حکم زنا را نسبت به او ثابت کرد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;30;0;0;2.0;1.33333333333
83;84;قذف;اگر مردی به همسر خود نسبت رابطه  ی نامشروع با شخص خاصی بدهد، حکم شرعی چیست؟;حقوق و قانون;مذهبی;;0;;توضیح;;;0;;29;28;0;20;0;0;2.33333333333;1.0
84;85;ورود زنان به دستگاه قضایی;ورود زنان به دستگاه قضایی جهت رسیدگی به دعاوی حقوقی، کیفری و امور حسبیّه از بدو تشکیل پرونده، مرحله تحقیقات و ختم رسیدگی و صدور و ابلاغ و اجرای حکم را مرقوم فرمایید؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.33333333333;1.0
85;86;راهنمایی طرفین دعوا توسط قاضی;آیا قاضی می  تواند یکی از طرف های دعوا یا دو طرف را به نحوه صحیح دادرسی و تنظیم شکایت و... راهنمایی کند؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.66666666667
86;87;تعدّد قضات;آیا تعدّد قضات از نظر اسلام صحیح است؟;مذهبی;حقوق و قانون;;0;;بله/خیر;;;0;;30;27;0;30;0;0;2.33333333333;1.66666666667
87;88;گذشتن از شکایت در برابر پول;در برخی موارد مجرم به شاکی مبلغی پول می  دهد تا او از شکایت خود صرف نظر نماید، با توجه به این که برخی از جرم ها مثل تجاوز به عنف، سرقت، و... می  باشد، آیا دریافت چنین پولی جایز است؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;30;0;0;1.66666666667;1.33333333333
88;89;موارد جواز زندان در اسلام;در عصر امروز زندان به عنوان رایج ترین مجازات مجرمین مطرح است، لطفا بفرمایید اسلام در چه مواردی زندان را جایز دانسته است؟;مذهبی;حقوق و قانون;;0;;لیست;توضیح;;0;;30;18;0;30;18;0;1.66666666667;2.0
89;90;کنترل تلفن، ورود به منزل، تعقیب و...;آیا می  توان برای اثبات جرم کسی، تلفن وی را کنترل کرد یا به تفتیش خانه او پرداخت و یا او را تعقیب نمود، و آیا قاضی می  تواند به چنین اموری حکم نماید؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.66666666667
90;91;شکنجه و فشار متهم;آیا برای اعتراف گرفتن از متهم، می  توان او را شکنجه کرد و یا تحت فشار قرار داد؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.66666666667
91;92;حکم قاضی فاسق;برخی از قاضی  ها که فسق های آشکاری هم چون ریش تراشی دارند، آیا حکم آن ها نافذ است؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;28;0;30;0;0;2.0;1.66666666667
92;93;کیفیت ضربات شلاق در حدود و تعزیرات;لطفا کیفیت ضربات شلاق را در حدود و تعزیرات بیان فرمایید.;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.33333333333;1.0
93;94;دزدی  های الکترونیکی;حکم سرقت های الکترونیکی اعم از اطلاعات، پول و... توسط اینترنت، کامپیوتر یا موبایل و تلفن چیست؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.66666666667;1.0
94;95;اسید پاشی;حکم کسی که به صورت زن یا مرد دیگر اسید پاشیده است چیست؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;1.33333333333;1.0
95;96;چهار بار اقرار به زنا;اگر کسی اقرار به زنا کند، لازم است چهار بار اقرار نماید و آیا باید هر بار از آن در یک جلسه مستقل باشد یا می  توان چهار بار اقرار در یک جلسه را مبنای حکم قرار داد؟;حقوق و قانون;مذهبی;;0;;توضیح;;;0;;29;19;0;20;0;0;1.66666666667;1.0
96;97;مدّعی العموم;آیا در اسلام چیزی به عنوان مدعی  العموم وجود دارد؟;مذهبی;حقوق و قانون;;0;;بله/خیر;;;0;;30;18;0;29;0;0;1.66666666667;1.66666666667
97;98;پیگیری قتل بدون تقاضای اولیای مقتول;آیا دادگاه می  تواند بدون درخواست اولیای دم، در مورد قتلی که واقع شده تحقیق و پیگیری کند تا قاتل را شناسایی نماید؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;30;0;0;1.33333333333;1.33333333333
98;99;احکام شوراهای حلّ اختلاف;اخیرا در محله  ها و مناطق مختلف کشور با جمع عدّه  ای از معتمدین، شوراهای حلّ اختلاف تشکیل شده که در کارگشایی امور قضایی مردم بسیار موثر بوده است، احکام صادر شده توسط چنین شوراهایی می  تواند مشروعیت داشته و مبنای عمل طرفین دعوا قرار گیرد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;30;0;0;1.66666666667;1.33333333333
99;100;شهود غیر عادل;آیا قاضی می  تواند بر اساس شهادت شهودی که عدالتشان به اثبات نرسیده، به عنوان اماره یا مستند علم خود حکم دهد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;30;0;0;1.66666666667;1.33333333333
100;101;نقش فاکس، فیلم، عکس و .... در حکم قاضی;آیا اسناد که به وسیله فاکس، فیلم، عکس، نوار ضبط، اینترنت، و... تهیه می  شود، می  تواند مبنای اثبات یا ردّ ادعایی در محاکم شده و مبنای حکم و یا مؤیّد باشند؟;حقوق و قانون;;;0;;بله/خیر;;;0;;29;0;0;29;0;0;1.66666666667;1.66666666667
101;102;اثبات جرم از راه پزشکی قانونی;آیا اثبات جرم به غیر از دستورات شرع از طرق دیگر ـ مثل نظریه پزشک قانونی ـ امکان  پذیر است؟ و آیا نظر پزشکی قانونی می  تواند مستند برای حکم دادگاه باشد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;28;0;29;0;0;2.0;1.66666666667
102;103;تشخیص پزشک در تحقق زنا و لواط;تشخیص پزشک مبنی بر تحقق زنا و لواط و اظهار به وجود منی در مجرا و امثال آن، آیا می تواند مبنای اثبات حکم زنا و لواط قرار گیرد؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;30;0;0;2.0;1.66666666667
103;104;فحاشی نسبت به خداوند;شخصی نه اهل نماز و نه روزه است، در حین صحبت با همکارانش و یا هنگام خشم، نعوذ باللّه  نسبت به خداوند متعال فحّاشی نموده است و بار دوم تکرار نموده است و گفته است چه کسی آخرت را دیده، تکلیف شرعی ما در این باره چیست؟ مرقوم فرمایید؟;مذهبی;;;0;;توضیح;;;0;;30;0;0;20;0;0;1.33333333333;1.0
104;105;فحاشی نسبت به خداوند;چنان چه فرد مسلمان فطری به زبان بگوید: «کدام دین، کدام قرآن، پیامبر و علی و امام مهدی چه کسی بودند...» آیا چنین کلماتی از مصادیق ارتداد است؟;مذهبی;;;0;;بله/خیر;;;0;;30;0;0;29;0;0;1.33333333333;1.66666666667
105;106;پاره کردن قرآن;شخصی عصبانی شده و بر اثر خشم و غضب، قرآن کریم را پاره پاره نموده و بعدا پشیمان شده است، در حال حاضر چنین شخصی چه حکمی دارد؟;مذهبی;حقوق و قانون;;0;;توضیح;;;0;;30;18;0;29;0;0;1.66666666667;1.33333333333
106;107;اهانت همسر به قرآن;وظیفه مردی که همسرش به قرآن اهانت نموده و مقدسات دین را منکر شود چیست؟;مذهبی;حقوق و قانون;;0;;توضیح;;;0;;29;18;0;20;0;0;2.0;1.0
107;108;کشتن افرادی که خون آن ها هدر است ;آیا می  توان افرادی که مهدورالدم هستند، بدون مراجعه به دادگاه آن ها را به قتل رساند؟;حقوق و قانون;مذهبی;;0;;بله/خیر;;;0;;29;19;0;20;0;0;1.66666666667;1.33333333333
108;109;مجری حکم اعدام مرتد;حکم اعدام افراد تحت شمول سابّ النبی و مرتد را چه کسی می  تواند اجرا کند؟;حقوق و قانون;مذهبی;;0;;;;;0;;29;19;0;0;0;0;1.66666666667;1.33333333333
109;110;فرق شبهه اعتقادی و ارتداد;در ذهن بسیاری از جوان ها، شبهاتی اعتقادی راجع به توحید، معاد و نبوت و امامت وجود دارد که این شبهات در رفتار و گفتار آنان تأثیر گذاشته و گاه الفاظی که بوی شرک و کفر و بی  دینی می  دهد، از آنان صادر می  شود و یا حتی نماز و روزه را ترک می  کنند، در صورتی که اگر مشکل اعتقادی یا عاطفی آنان حل شده و شبهات آن ها از طریق درست پاسخ گفته شود، افراد معتقدی می  شوند، آیا می  توان چنین افرادی را کافر و مرتد دانست؟ و اگر این حالت در آنان ادامه پیدا کند چه طور؟;مذهبی;;;0;;بله/خیر;توضیح;;1;;30;0;0;19;19;0;1.33333333333;1.66666666667
110;111;جراحی زن حامله;اگر زن حامله ای بر اثر حادثه تصادف و مانند آن بمیرد و فرزند او در شکمش زنده باشد، وظیفه چیست؟;حقوق و قانون;;;0;;توضیح;;;0;;29;0;0;20;0;0;2.0;1.0
111;112;بچه مرده در رحم مادر;اگر بچه در رحم مادر بمیرد و باقی ماندن او در شکم مادر خطرآفرین باشد چه باید کرد؟;حقوق و قانون;;;0;;توضیح;;;0;;28;0;0;20;0;0;2.0;1.0
112;113;دیه تشریح مسلمان;آیا تشریح بدن مسلمان موجب دیه است؟ در صورت اثبات دیه اگر یکی از ارگان های دولتی و یا آموزشی بدن مجهول الهویه ای را تشریح کرد، دیه آن را به چه کسی باید بپردازد؟;مذهبی;حقوق و قانون;;0;;بله/خیر;;;0;;29;28;0;19;0;0;2.0;1.66666666667
